id,player,club,position,age,value,nationality,avatar_url
274,B. Stokke,Randers,Striker,29,200000,Norway,images/profile_img/empty.jpg
275,M. Hvilsom,Hobro,Striker,27,200000,Denmark,images/profile_img/empty.jpg
276,J. Linnet,Horsens,Striker,24,200000,Denmark,images/profile_img/empty.jpg
277,A. Mohammad,Lyngby,Right Wing,23,200000,"Denmark, Pakistan",images/profile_img/empty.jpg
278,M. Halsti,Esbjerg,Left Centre-Back,35,200000,Finland,images/profile_img/empty.jpg
279,J. Rothmann,Nordsjælland,Striker,19,200000,Denmark,images/profile_img/empty.jpg
280,M. Anbo,AGF,Right Wing,19,200000,Denmark,images/profile_img/empty.jpg
281,Í. Ólafsson,SønderjyskE,Left Centre-Back,19,200000,Iceland,images/profile_img/empty.jpg
282,R. Austin,Esbjerg,Centre-Back,34,200000,Jamaica,images/profile_img/empty.jpg
283,M. Larsen,Esbjerg,Left-Back,18,200000,Denmark,images/profile_img/empty.jpg
284,M. Rochester Sørensen,Silkeborg,Right Wing,27,200000,"Denmark, England",images/profile_img/empty.jpg
285,S. Avanzini,KÍ,Attacking-Midfielder,24,200000,"Italy, Denmark",images/profile_img/empty.jpg
286,N. Mirković,SønderjyskE,Goalkeeper,28,200000,Serbia,images/profile_img/empty.jpg
287,S. Jakobsen,Hobro,Left Centre-Back,29,200000,Denmark,images/profile_img/empty.jpg
288,P. Bjur,Brøndby,Right Wing,20,200000,Denmark,images/profile_img/empty.jpg
289,O. Hedvall,Silkeborg,Goalkeeper,21,200000,Denmark,images/profile_img/empty.jpg
290,V. Nambishi,Silkeborg,Right Wing,22,200000,"Zambia, Denmark",images/profile_img/empty.jpg
291,M. Westergaard,Lyngby,Left-Back,21,200000,Denmark,images/profile_img/empty.jpg
292,P. Gregor,Lyngby,Left Centre-Back,26,200000,Denmark,images/profile_img/empty.jpg
293,O. Antman,Nordsjælland,Left Wing,18,150000,Finland,images/profile_img/empty.jpg
